Activity,Year,Domestic day,Domestic night,International,Domestic day total,Domestic night total,International total
Visit Park,2008,0.41,0.47,0.66,1394000,6147600,8454600
Visit Park,2009,0.44,0.46,0.66,1421200,5947800,8415000
Visit Park,2010,0.42,0.48,0.66,1415400,6177600,9266400
Visit Park,2011,0.42,0.48,0.63,1386000,6283200,7931700
Visit Park,2012,0.44,0.47,0.65,1500400,6382600,9165000
Visit Park,2013,0.46,0.48,0.65,1692800,7488000,10829000
Visit Park,2014,0.44,0.49,0.65,1795200,8055600,10400000
Visit Park,2015,0.44,0.49,0.66,1966800,8888600,12553200
Bushwalking,2008,0.37,0.51,0.37,1258000,6670800,4739700
Bushwalking,2009,0.36,0.49,0.38,1162800,6335700,4845000
Bushwalking,2010,0.39,0.49,0.38,1314300,6306300,5335200
Bushwalking,2011,0.37,0.51,0.35,1221000,6675900,4406500
Bushwalking,2012,0.38,0.51,0.35,1295800,6925800,4935000
Bushwalking,2013,0.38,0.5,0.35,1398400,7800000,5831000
Bushwalking,2014,0.39,0.5,0.33,1591200,8220000,5280000
Bushwalking,2015,0.42,0.53,0.33,1877400,9614200,6276600
Visit Gardens,2008,0.27,0.2,0.56,918000,2616000,7173600
Visit Gardens,2009,0.24,0.18,0.56,775200,2327400,7140000
Visit Gardens,2010,0.24,0.18,0.56,808800,2316600,7862400
Visit Gardens,2011,0.23,0.15,0.52,759000,1963500,6546800
Visit Gardens,2012,0.26,0.19,0.55,886600,2580200,7755000
Visit Gardens,2013,0.23,0.19,0.55,846400,2964000,9163000
Visit Gardens,2014,0.25,0.2,0.57,1020000,3288000,9120000
Visit Gardens,2015,0.27,0.2,0.61,1206900,3628000,11602200
Visit Zoo,2008,0.14,0.15,0.59,476000,1962000,7557900
Visit Zoo,2009,0.14,0.17,0.58,452200,2198100,7395000
Visit Zoo,2010,0.13,0.16,0.56,438100,2059200,7862400
Visit Zoo,2011,0.14,0.15,0.53,462000,1963500,6672700
Visit Zoo,2012,0.11,0.15,0.53,375100,2037000,7473000
Visit Zoo,2013,0.13,0.14,0.53,478400,2184000,8829800
Visit Zoo,2014,0.12,0.13,0.53,489600,2137200,8480000
Visit Zoo,2015,0.08,0.11,0.52,357600,1995400,9890400
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,