Week,searchTerm,frequency
16/12/18,camping,24
16/12/18,netflix,62
23/12/18,camping,40
23/12/18,netflix,78
30/12/18,camping,35
30/12/18,netflix,80
6/1/19,camping,29
6/1/19,netflix,76
13/1/19,camping,27
13/1/19,netflix,73
20/1/19,camping,27
20/1/19,netflix,72
27/1/19,camping,23
27/1/19,netflix,73
3/2/19,camping,20
3/2/19,netflix,54
10/2/19,camping,21
10/2/19,netflix,52
17/2/19,camping,20
17/2/19,netflix,57
24/2/19,camping,21
24/2/19,netflix,53
3/3/19,camping,21
3/3/19,netflix,50
10/3/19,camping,20
10/3/19,netflix,58
17/3/19,camping,20
17/3/19,netflix,55
24/3/19,camping,20
24/3/19,netflix,58
31/3/19,camping,21
31/3/19,netflix,55
7/4/19,camping,23
7/4/19,netflix,57
14/4/19,camping,32
14/4/19,netflix,68
21/4/19,camping,28
21/4/19,netflix,64
28/4/19,camping,19
28/4/19,netflix,53
5/5/19,camping,16
5/5/19,netflix,52
12/5/19,camping,17
12/5/19,netflix,52
19/5/19,camping,17
19/5/19,netflix,63
26/5/19,camping,18
26/5/19,netflix,58
2/6/19,camping,17
2/6/19,netflix,59
9/6/19,camping,16
9/6/19,netflix,60
16/6/19,camping,15
16/6/19,netflix,56
23/6/19,camping,15
23/6/19,netflix,60
30/6/19,camping,17
30/6/19,netflix,60
7/7/19,camping,17
7/7/19,netflix,60
14/7/19,camping,16
14/7/19,netflix,58
21/7/19,camping,17
21/7/19,netflix,58
28/7/19,camping,17
28/7/19,netflix,52
4/8/19,camping,17
4/8/19,netflix,50
11/8/19,camping,16
11/8/19,netflix,50
18/8/19,camping,15
18/8/19,netflix,51
25/8/19,camping,18
25/8/19,netflix,59
1/9/19,camping,17
1/9/19,netflix,48
8/9/19,camping,19
8/9/19,netflix,52
15/9/19,camping,20
15/9/19,netflix,57
22/9/19,camping,25
22/9/19,netflix,59
29/9/19,camping,26
29/9/19,netflix,58
6/10/19,camping,22
6/10/19,netflix,59
13/10/19,camping,19
13/10/19,netflix,52
20/10/19,camping,19
20/10/19,netflix,50
27/10/19,camping,20
27/10/19,netflix,52
3/11/19,camping,20
3/11/19,netflix,57
10/11/19,camping,18
10/11/19,netflix,52
17/11/19,camping,17
17/11/19,netflix,52
24/11/19,camping,16
24/11/19,netflix,50
1/12/19,camping,19
1/12/19,netflix,55
8/12/19,camping,19
8/12/19,netflix,55
15/12/19,camping,22
15/12/19,netflix,59
22/12/19,camping,33
22/12/19,netflix,74
29/12/19,camping,31
29/12/19,netflix,71
5/1/20,camping,21
5/1/20,netflix,66
12/1/20,camping,22
12/1/20,netflix,65
19/1/20,camping,23
19/1/20,netflix,60
26/1/20,camping,20
26/1/20,netflix,58
2/2/20,camping,18
2/2/20,netflix,59
9/2/20,camping,18
9/2/20,netflix,56
16/2/20,camping,19
16/2/20,netflix,50
23/2/20,camping,20
23/2/20,netflix,52
1/3/20,camping,19
1/3/20,netflix,54
8/3/20,camping,19
8/3/20,netflix,51
15/3/20,camping,17
15/3/20,netflix,61
22/3/20,camping,13
22/3/20,netflix,84
29/3/20,camping,7
29/3/20,netflix,87
5/4/20,camping,7
5/4/20,netflix,100
12/4/20,camping,7
12/4/20,netflix,94
19/4/20,camping,7
19/4/20,netflix,85
26/4/20,camping,10
26/4/20,netflix,78
3/5/20,camping,10
3/5/20,netflix,76
10/5/20,camping,13
10/5/20,netflix,69
17/5/20,camping,15
17/5/20,netflix,68
24/5/20,camping,18
24/5/20,netflix,67
31/5/20,camping,26
31/5/20,netflix,59
7/6/20,camping,23
7/6/20,netflix,62
14/6/20,camping,22
14/6/20,netflix,59
21/6/20,camping,23
21/6/20,netflix,60
28/6/20,camping,24
28/6/20,netflix,69
5/7/20,camping,20
5/7/20,netflix,68
12/7/20,camping,20
12/7/20,netflix,65
19/7/20,camping,18
19/7/20,netflix,58
26/7/20,camping,18
26/7/20,netflix,59
2/8/20,camping,17
2/8/20,netflix,57
9/8/20,camping,19
9/8/20,netflix,60
16/8/20,camping,19
16/8/20,netflix,63
23/8/20,camping,20
23/8/20,netflix,56
30/8/20,camping,21
30/8/20,netflix,57
6/9/20,camping,23
6/9/20,netflix,65
13/9/20,camping,27
13/9/20,netflix,69
20/9/20,camping,29
20/9/20,netflix,68
27/9/20,camping,33
27/9/20,netflix,63
4/10/20,camping,27
4/10/20,netflix,60
11/10/20,camping,23
11/10/20,netflix,52
18/10/20,camping,22
18/10/20,netflix,54
25/10/20,camping,21
25/10/20,netflix,55
1/11/20,camping,21
1/11/20,netflix,46
8/11/20,camping,22
8/11/20,netflix,49
15/11/20,camping,26
15/11/20,netflix,51
22/11/20,camping,26
22/11/20,netflix,47
29/11/20,camping,24
29/11/20,netflix,50
6/12/20,camping,25
6/12/20,netflix,51
13/12/20,camping,24
13/12/20,netflix,54
20/12/20,camping,32
20/12/20,netflix,61
27/12/20,camping,41
27/12/20,netflix,77
3/1/21,camping,33
3/1/21,netflix,65
10/1/21,camping,33
10/1/21,netflix,62
17/1/21,camping,33
17/1/21,netflix,62
24/1/21,camping,26
24/1/21,netflix,64
31/1/21,camping,23
31/1/21,netflix,56
7/2/21,camping,24
7/2/21,netflix,53
14/2/21,camping,24
14/2/21,netflix,52
21/2/21,camping,25
21/2/21,netflix,50
28/2/21,camping,29
28/2/21,netflix,49
7/3/21,camping,27
7/3/21,netflix,47
14/3/21,camping,27
14/3/21,netflix,51
21/3/21,camping,26
21/3/21,netflix,51
28/3/21,camping,31
28/3/21,netflix,53
4/4/21,camping,30
4/4/21,netflix,58
11/4/21,camping,27
11/4/21,netflix,54
18/4/21,camping,24
18/4/21,netflix,50
25/4/21,camping,23
25/4/21,netflix,52
2/5/21,camping,20
2/5/21,netflix,48
9/5/21,camping,21
9/5/21,netflix,48
16/5/21,camping,23
16/5/21,netflix,49
23/5/21,camping,20
23/5/21,netflix,50
30/5/21,camping,21
30/5/21,netflix,54
6/6/21,camping,21
6/6/21,netflix,50
13/6/21,camping,21
13/6/21,netflix,54
20/6/21,camping,19
20/6/21,netflix,54
27/6/21,camping,18
27/6/21,netflix,71
4/7/21,camping,18
4/7/21,netflix,61
11/7/21,camping,16
11/7/21,netflix,59
18/7/21,camping,14
18/7/21,netflix,56
25/7/21,camping,15
25/7/21,netflix,51
1/8/21,camping,14
1/8/21,netflix,49
8/8/21,camping,15
8/8/21,netflix,57
15/8/21,camping,16
15/8/21,netflix,52
22/8/21,camping,15
22/8/21,netflix,56
29/8/21,camping,16
29/8/21,netflix,52
5/9/21,camping,17
5/9/21,netflix,55
12/9/21,camping,20
12/9/21,netflix,55
19/9/21,camping,23
19/9/21,netflix,54
26/9/21,camping,22
26/9/21,netflix,65
3/10/21,camping,20
3/10/21,netflix,61
